case_id,total_time
2061,172291633.2
2063,35200.82979
2064,42110007.26
2065,62548904.66
2067,299643.087
2068,6105400.255
2069,9597715.043
2070,197712.9348
2080,12955881.41
2081,11737794.44
2084,235692404.9
2085,56244987.31
2086,97811521.08
2087,110789996.4
2088,6653601
2089,4257004.185
2090,4449042.192
2091,36850521.04
2092,601622169
2093,39959.85106
2094,51368880.31
2095,45248553.07
2096,5422565.872
2097,642430.8
2098,2307421.935
2099,614057.7174
2100,38378.3617
2101,104080.7143
2102,149371.0714
2103,24494972.77
2104,32822225.63
2105,68844040.18
2106,51284694
2107,15819.09091
2108,46354184.02
2109,130606.0652
2110,54932.13043
2111,676062.3261
2112,112615.9318
2113,31251386.73
2114,10672161.22
2115,194599468.5
2116,7173825.5
2117,23531.56818
2118,18844.29545
2119,62008.06818
2120,277809.9333
2121,47898109.67
2122,17314.53333
2123,6180730.477
2124,12213237.83
2125,50739353.73
2126,406835.1628
2127,50009070.13
2128,88961.97727
2129,3726147.302
2130,135019.6364
2131,47768.425
2132,3970473.024
2133,18549.54545
2134,9449627.489
2135,1119128.512
2136,1835185.465
2137,54179.02273
2138,32177657.79
2139,65296026.64
2140,9477370.707
2141,882712.4889
2142,29012094.98
2145,37646784.44
2146,34964968.26
2147,54889378.35
2148,12362492.87
2149,98470379
2150,91898354.89
2151,17946327.96
2152,3863861.704
2153,2527860.418
2154,9545.840909
2155,2190729.667
2156,2482.609756
2157,15329859.45
2158,3753145.619
2159,131274.6585
2160,544332.907
2161,19821.36364
2162,25410337.11
2163,324805.6047
2164,1543737.676
2165,141292.3243
2166,68917789.89
2167,7456585.69
2168,64117792.82
2169,2994930.682
2171,2378742.6
2172,33012491.5
2173,971322.7609
2174,146684216.8
2175,64852421.87
2176,279752712.2
2177,54524665.59
2178,141510205.5
2179,11015763.23
2180,393712389
2181,320526.9783
2182,26422317.89
2183,27531.73913
2184,14962241.39
2185,21098512.93
2186,400864.4565
2187,3835037.209
2188,107625123.7
2189,8650970.732
2190,165770510.2
2192,10709304.95
2193,107529106.9
2194,43288121.98
2195,56413948.12
2196,33735328.29
2197,25335059.71
2198,96708288.74
2199,14115701.82
2200,1959143.718
2201,25856.21429
2202,31374265.6
2203,144889826.1
2204,66361.5
2205,114681217.5
2206,36671
2207,291771.9286
2208,100056838.5
2209,175153343.9
2210,88340104.65
2211,14922376.02
2212,6646.891304
2213,399996.4516
2214,104116.907
2215,34671041.67
2216,900897.5823
2217,10495155.12
2218,1636926.767
2219,1897242.372
2220,45184267.41
2221,63588140.55
2222,32331992.83
2223,104181525.3
2224,164015.7442
2225,45199.1
2226,186915.3488
2227,166046376.9
2228,842251.1463
2229,13348.69767
2230,674845.0952
2231,148481.1628
2232,153086825.5
2233,61893390.57
2234,86461526.52
2235,185672150.8
2236,12994607.65
2237,2032691.243
2238,18692.95238
2239,95003174.77
2240,7302484.786
2241,88162.58537
2242,14203364.91
2243,234568.0976
2244,10505957.76
2245,58451.84091
2246,1273008.976
2247,42568914.08
2248,162374.9512
2249,4362344.6
2250,168510921.8
2251,9319017.93
2252,26967265.82
2253,66996864.06
2254,45488078.78
2264,87001044.03
2265,69095555.82
2266,61595354.86
2273,42710053.17
2275,245320554.1
2276,56264171.38
2277,100782709.4
2278,55895.68182
2279,22620044.53
2280,20132.77778
2281,44331.76744
2282,31277.58537
2283,72581835.87
2284,61140836.07
2285,6698.536585
2286,11236451.4
2287,2045277.625
2288,57040129.19
2289,13714832.56
2290,24271649.48
2291,1990774.5
2292,22425545.56
2293,6567.142857
2294,3665382.294
2295,427723.8947
2296,15658175.25
2297,31187289.02
2298,1233.969697
2299,30829546.66
2300,110717584.9
2301,51048.35714
2302,8777537.824
2303,34246979.77
2304,87175024.16
2305,77992041.39
2306,30451383.21
2307,91095876.85
2308,28925614.82
2309,50927210.58
2310,184437509.2
2311,181830469.9
2312,42156561.76
2313,216775184.5
2314,431633.6
2315,41194926.08
2316,96160968.6
2317,948892.3171
2318,254312374.7
2319,5484783.837
2320,1067358
2321,110136643.8
2322,1470532.949
2323,862389.9318
2324,92675425.05
2325,28724682.54
2326,321398.7568
2327,15159021.98
2328,3383016.977
2329,57655262.64
2330,102015123.8
2331,89610459.3
2332,26314582.33
2333,89177858.23
2334,523115.8889
2335,2241945.727
2336,62562138.92
2337,134156672.4
2338,73389092.52
2339,1058301.202
2340,22263769.45
2341,52790883
2342,27778551.43
2343,12181.4375
2344,2207516.318
2345,44416.10112
2346,102141435.1
2347,76054933.66
2348,18276883.93
2349,37226636.13
2350,90075006.6
2351,82100432.06
2352,190866944.2
