,rate,字符串,线性表,数组,查找算法,排序算法,数字操作,图结构,树结构,toanslines,upload_times,answer_rate,final_score,first_score,total_time,timeavg,scoreavg
bad,0.689394636,0.810514109,0.832935055,0.82872803,0.811295196,0.823066959,0.81321639,0.728384153,0.765842864,0.924157372,0,0.536049652,0,0.741704693,0.976256225,0.978779322,0.046732723
good,0.822792679,0.844136009,0.849222142,0.843671444,0.835184369,0.845604845,0.835576771,0.806293844,0.825951899,0.950575794,0.975196173,0.580656441,0.969166507,0.923180653,0.989846119,0.989591771,0.157398499
